bangla_speech ,banglish_speech ,chittagong_bangla_speech ,chittagong_banglish_speech ,region_name ,english_speech
তোমার এক ফোটা হাসি দেখার জন্য বসে আছি ,tomar ek fota hasi dekhar jonno bose achi,তোয়ার এক্কান হাসি দেইবারলাই বই আসি,toyar ekkan hasi deibarlai boi asi,Chittagong,I am sitting to see a drop of your smile
একটু আগেই ঝাড়ু দেওয়া হয়েছে,ektu agei jharu deoya hoyeche,এক্কানা আগে ঝাড়ু মারা ওইয়্যে,ekkana age jharu mara oijje,Chittagong,It was swept a little earlier
পানি দিয়ে মুছে দেওয়া হয়েছে,pani diye muche deoya hoyeche,ফানি দিয়েনে দুই দিইয়্যে,fani diyene dui diiye,Chittagong,Removed with water
শিক্ষার্থী নতুন ভর্তি হয়েছে ,shikkharthi notun vorti hoyeche,শিক্ষার্থী নতুন ভর্তি অইয়ে,shikkharthi notun vorti oiye,Chittagong,Students are newly admitted
এলাকায় আগুন লেগেছে,elakay agun legeche,এলাকাত অন লাইগ্গে,elakat on laigge,Chittagong,There is a fire in the area
আমার নানা অসুস্থ ,amar nana osustho,আর নানা গম নাই,ar nana gom nai,Chittagong,My grandmother is sick
অনেক শিক্ষার্থী নতুন ভর্তি হয়েছে ,onek shikkharthi notun vorti hoyeche,বহুত শিক্ষার্থী নতুন ভর্তি অইয়ে,bohut shikkharthi notun vorti oiye,Chittagong,Many students are newly admitted
রোগীকে হাসপাতালে থাকতে হবে,rogike hospitale  thakte hobe,রোগিরে হাসপাতালত তাহন ফরিবু,rogire hospitalot tahon foribu,Chittagong,The patient must stay in the hospital
নানাকে দেখতে গিয়েছিলাম ,nanake dekhte giyechilam,নানারে চাইতু গেইলাম,nanare chaitu geilam,Chittagong,I went to see Nana
আমি আগে দেখিনি,ami age dekhini,আই আগে নো‌ চাই,ai age no‌ chai,Chittagong,I haven't seen it before
নানা আমাকে দেখে খুব খুশি হলো,nana amake dekhe khub khushi holo,নানা আরে চাই হুশি অইয়্যে,nana are chai hushi oiiyee,Chittagong,Nana was very happy to see me
সেটা একধরনের যোগাযোগ,seta ekdhoroner jogajog,ইবে একডৈল্লে যোগাযোগ ,ibe ekdoille jogajog,Chittagong,It is a form of communication
আমি গতকাল স্কুলে আসিনি,ami gotokal school e ashini,আই গতকাল স্কুলত নো যাই,ai gotokal schoolot no jai,Chittagong,I didn't come to school yesterday
তাদেও কেও স্কুলে আসেনি ,tadero keo school e asheni,ইতারা কেউ স্কুলত নো যাই,itara keu schoolot  no jai,Chittagong,Still no one came to school
তাদের জানার কথা নয়,tader janar kotha noy,ইতারা জানিবের হতা নো,itara janiber hota no,Chittagong,They are not supposed to know
বড়ো মামা  বিদেশ থেকে এসেছেন,boro mama  bidesh theke esechen,বড় মো বিদেশুরতুন আইস্যে,boro mo bideshurtun aisse,Chittagong,Great uncle came from abroad
ক্লাসে কোন বিষয় নিয়ে কথা বলছিলেন?,class e kon bishoy niye kotha bolchilen?,ক্লাসত হোন বেফারে হতা হইয়্যে?,classot hon befare hota hoiyee?,Chittagong,What topics were you talking about in class?
কেন পলাশের কথায় বিরক্ত হয়েছিল,keno polasher kothay birokto hoyechilo?,পলাশর হতাত বিরক্ত কিললাই অইলে?,polashor hotat birokto killai oile?,Chittagong,Ken was annoyed by Palash's words
ইচ্ছা ছিল কোনো জায়গায় ঘুরতে যাব,iccha chilo kono jaygay ghurte jabo,ইচ্ছে আসিল হোনো মিক্কে ঘুইরতু যাইয়্যুম,icche asilo hono mikke ghuirtu jaiiyum,Chittagong,I wanted to go somewhere
অনেকবার লালবাগ কেল্লার কথা শুনেছি,onekbar lalbag kellar kotha shunechi,বোতবার লালবাগ হেল্লার হোতা উইন্নি,botbar lalbag hellar hota uinni,Chittagong,I have heard about Lalbagh Fort many times
ঠিক করা হলো সবাই মিলে সেখানে যাব,thik kora holo sobai mile sekhane jabo,ঠিক‌ গোরন‌ অইলে বেকে মিলে এডে যাইউম,thik‌ goron‌ oile beke mile ede jaium,Chittagong,It was decided that we will all go there together
আমার মামাতো বোনও যেতে চাইল,amar mamato bon o jete chailo,আর মতো বইন ও যাইতু আসিল,ar moto boin o jaitu asilo,Chittagong,My cousin also wanted to go
লিখে শিক্ষকের কাছে জমা দাও,likhe shikhoker kache joma dao,লিহি এনে মাষ্টর অর হাসোত জমা দে,lihi ene master or hasot joma de,Chittagong,Write and submit to the teacher
সব অঞ্চলের মানুষের ভাষা এক রকমের নয়,sob oncholer manusher vasha ek rokomer noy,বেক অঞ্চল অর মাইনষের ভাষা‌ এক‌ডইল্লে নই,bek oncol or mainsher vasha‌ ek‌dille noi,Chittagong,The language of the people of all regions is not the same
অনেক শব্দের উচ্চারণ আলাদা হয়,onek shobder uccharon alada hoy,বোত শব্দের উচ্চারণ এক এক রহমর অই,bot shobder uccharon ek ek rohomor oi,Chittagong,Many words have different pronunciations
দক্ষিণের জেলা কক্সবাজার,dokkhiner jela cox's bazar,দইন অর জেলা হক্সবাজার,din or jela hoksbazar,Chittagong,South District Cox's Bazar
সাড়ে চারটায় সবার মাঠে আসার কথা,sare chartay shobar mathe ashar kotha,সাড়ে চারটার সমত বেকের মাডত আইবের হতা,sare chartar somot beker madot aiber hota,Chittagong,Everyone is supposed to come to the field at half past four
আজ কোনো খেলা হবে না ,aj kono khela hobe na,আজিয়ে হোনো খেলা অইতু নো,aiye hono khela oitu no,Chittagong,There will be no game today
একটা পোড়োবাড়ি আছে,ekta porabari ache,উগ্গো পোড়াবাড়ি আছে,uggo porabari ache,Chittagong,There is a family home
এখানে কী করছো তোমরা?,ekhane ki korcho tomra?,এডে কিত্তে লাইগ্গু তোরা,ede kitte laiggu tora,Chittagong,What are you doing here?
চারপাশে কত বড়ো বড়ো গাছ!,charopashe koto boro boro gach,চারিমিক্কে হতর হতর‌ গাছ,charimikke hotor hotor‌ gach,Chittagong,How many big trees around!
দিনের বেলাতেও বাড়ির ভিতরটা অন্ধকার হয়ে থাকে,diner belateo barir vitorta ondhokar,দিন অর বেলাত অ বাড়ির ভিতুর আন্ধা অই‌ তাহে,din or belat o barir vitur andha oi‌ tahe,Chittagong,The interior of the house is dark even during the day
রেলগাড়ি চলে রেললাইনের উপর দিয়ে,railgari chole railline er upor diye,রেলগাড়ি চলে রেললাইনর উওদ্দিয়েরে,railgari chole rail liner uoddiyere,Chittagong,Trains run on railway tracks
