bangla_speech ,banglish_speech ,sylhet_bangla_speech ,sylhet_banglish_speech ,region_name ,english_speech
আমি একটা কষ্টের কথা বললে সে নিজের কষ্টের কথা বলছে,ami ekta koshter kotha bolle se nijer koshter kotha bolche, মুই এখান খষ্টর মাত খইলে তাইন নিজর খষ্টর মাত মাতাত লাগি যাইতা,mui ekhan khoshtor mat khoile tain nijor khoshtor mat matat lagi jaita,Sylhet,"When I talk about a problem, he talks about his own problem"
আমি আমার বিষয় সাইডে রেখে তাকে সান্ত্বনা দিছি,ami amar bishoy side e rekhe take shantona dichi,মুই মোর খান সাইডে রাখিয়া তানরে সান্ত্বনা দিছি,mui mor khan side e rakhiya tanre santona dichi,Sylhet,I put my issue aside and consoled her
সে যেভাবে আমাকে আশা করছে আমি নিজেকে সেভাবে উপস্থাপন করছি,se jevabe amake asha korche ami nijeke sevabe uposthapon korchi,তাইন যেলা আমারে চাইছইন আমি হলা নিজরে উপস্থাপন করছি,tain jela amare chaichin ami hola nijore uposthapon korchi,Sylhet,I present myself as he expects me to be
আমার কখনো মনে হয় নি আমি কেন ছোট হবো,amar kokhono mone hoy ni ami ken choto hobo, মোরে কুনোসময় মনে অইছে না মুই খেনে ছুটো অইতাম,more kunosomoy mone oiche na mui khene chuto oitam,Sylhet,I never thought why I would be small
ও আমার সাথে এটা করছে আমিও ওর সাথে এটা করবো,o amar sathe eta korche amio or sathe eta korbo,তাাইন আমার লগে অলান খরছইন আমিও তান লগে অলান খরমু,tain amar loge olan khorchoin amio tan loge olan khormu,Sylhet,He's doing it to me and I'm going to do it to him
ও বোঝে না আমার ঠেকা নাই বুঝানোর,o bojhe na amar theka nai bujhanor,তাইন বুঝইন না তে আমার ঠেকা নি তানরে বুঝানির,tain bujhin na te amar theka ni tanre bujhanir,Sylhet,"He doesn't understand, I can't stop him from explaining"
মানুষ যার যার নিজের মত,manush jar jar nijer moto,মানুষ যার যারি নিজর লাখান,manush jar jari nijor lakhan,Sylhet,People are different
আমি বিশ্বাস করি কাউকে যদি আমি নিজের মত চাই তাহলে নিজের মত বানিয়ে নিতে হবে,ami bisshas kori kauke jodi ami nijer moto chai tahole nijer moto baniye nite hobe, মুই ইখান বিশ্বাস করি খেউরে যদি মুই নিজর মন মতো চাই তাইলে নিজর মন মতো বানাইয়া নেওয়া লাগবো,mui ikhan bishsas kori kheure jodi mui nijor mon moto chai taile nijor mon moto banaiya neoya lagbo,Sylhet,"I believe that if someone wants to be like me, I have to make them like me"
কাউকে নিজের মত বানানোর জন্য আগে আমাকে তার মত হতে হবে,kauke nijer moto bananor jonno age amake tar moto hote hobe,খেউরে নিজর লাখান বানাইতে অইলে আগে মুই তার লাখান অওয়া লাগবো,kheure nijor lakhan banaite oile age mui tar lakhan ooya lagbo,Sylhet,"To make someone like me, I must first be like them"
এটা জরুরি না সব সময় সব কিছু অপর জন করবে,eta joruri na sob somoy sob kichu opor jon korbe, অখটা জরুলি না যেন হখল সময় সবতা আরেখ জন করিয়া দিবো,okhta joruli na jen hokhol somoy shobta arekh jon koriya dibo,Sylhet,It is not necessary to always do everything else
আপনি নিজে কিছু একটা করেন,apni nije kichu ekta koren,আফনে নিজে কিচ্চু এখটা খরইন,afne nije kicchu ekhta khorin,Sylhet,You do something yourself
আমার স্বামী পর পর ৩ বছর আমার জন্মদিন মনেও রাখে নি,amar sami por por 3 bochor amar jonmodin moneo rakhe ni,মোর জামাই লাগা লাগা ৩ বৎসর আমার জন্মদিন মনউ রাখছে না,mor jamai laga laga ৩ botsor amar jonmodin monu rakhche na,Sylhet,My husband didn't even remember my birthday for 3 years straight
আমি পর পর ৩ বছর তাকে সারপ্রাইজ দিয়েছি জন্মদিনে,ami por por 3 bochor take surprise diyechi jonmodine,মুই লাগা লাগা ৩ বৎসর তানরে চমকাই দিছি জন্মদিনো,mui laga laga ৩ botsor tanre chomkai dichi jonmodino,Sylhet,I gave him a surprise on his birthday for 3 consecutive years
আমি কিন্তু এটা ভাবি নি যে ও মনে রাখে না আমি কেন করতে যাবো,ami kintu eta vabi ni je o mone rakhe na ami ken korte jabo,মুই কিন্তু অলা ভাবিছি না যেন তাইন মনো রাখলা না তে আমি খেনে রাখাত যাইতাম,mui kintu ola vabichi na jen tain mono rakhla na te ami khene rakhat jaitam,Sylhet,But I didn't think that he didn't remember why I was going to do it
আর এবছর সে বিশাল করে সারপ্রাইজ দিয়েছে আমাকে,ar ebochor se bishal kore surprise diyeche amake, আর অউ বৎসর তাইন মোরে বাক্কা বড় খরি সারপ্রাইজ দিছইন,ar ou botsor tain more bakka boro khori surprise dichin,Sylhet,And this year he gave me a big surprise
কেক এর উপর লেখা ছিল শুভ জন্মদিন আমার বউ,cake er upor lekha chilo shuvo jonmodin amar bou, খেগর উফরে লেখা আছিল শুভ জন্মদিন আমার বউ,khegor ufre lekha achilo shuvo jonmodin amar bou,Sylhet,Happy birthday my wife was written on the cake
সময় লেগেছে কিন্তু আমি যা তার থেকে চাই সেটা কিন্তু ঠিক বের করে এনেছি,somoy legeche kintu ami ja tar theke chai seta kintu thik ber kore enechi,সময় লাগছে কিনতু আমি যা তান থাকি চাইছি হখটা কিন্তু ঠিক বার খরি আনছি,somoy lagche kintu ami ja tan thaki chaichi hokhta kintu thik bar khori anchi,Sylhet,It took time but I got exactly what I wanted out of him
কাউকে তোমার কথা শুনাতে হতে আগে তুমি তার কথা শোনো,kauke tomar kotha shunate hote age tumi tar kotha shono,খেউরে তুমার মাত হুনাইতে অইলে আগে তুমি তার মাত হুনো,kheure tumar mat hunaite oile age tumi tar mat huno,Sylhet,Listen to someone before you have to listen to them
